feature,importance
spread_lag_2h,0.22793283
spread_lag_3h,0.0540211
spread_lag_4h,0.072734416
hour_sin,0.08335326
hour_cos,0.082605615
dow_sin,0.06600102
dow_cos,0.056080025
month_sin,0.07909126
month_cos,0.095633656
reservoir_pct,0.07991236
HPI,0.10263451
