model,value
ridge_mae,11.309689709141624
ridge_rmse,22.56611308991965
ridge_r2,0.10390741202291176
rf_mae,10.705876447963098
rf_rmse,21.728794212367355
rf_r2,0.16917296834369355
xgb_mae,10.897625228987158
xgb_rmse,21.905598716816495
xgb_r2,0.1555972872313508
naive_mae,12.678426982316031
naive_rmse,27.100705330691905
